Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"24-Nov-14","dumbbell biceps curl","6","14 kg","6","failed on left. has to assist"
"24-Nov-14","lying triceps extension","1","24 kg","8",""
"24-Nov-14","lying triceps extension","2","24 kg","8",""
"24-Nov-14","lying triceps extension","3","24 kg","8",""
"24-Nov-14","lying triceps extension","4","24 kg","8",""
"24-Nov-14","captains chair leg raise","1","0.0 kg","8",""
"24-Nov-14","captains chair leg raise","2","0.0 kg","8",""
"24-Nov-14","captains chair leg raise","3","0.0 kg","8",""
"24-Nov-14","captains chair leg raise","4","0.0 kg","8",""
"24-Nov-14","kneeling cable crunch","1","33.75 kg","8",""
"24-Nov-14","kneeling cable crunch","2","33.75 kg","8",""
"24-Nov-14","kneeling cable crunch","3","33.75 kg","8",""
"24-Nov-14","kneeling cable crunch","4","33.75 kg","8",""

"26-Nov-14","air bicycles","1","0.0 kg","100",""
"26-Nov-14","air bicycles","2","0.0 kg","100",""
"26-Nov-14","air bicycles","3","0.0 kg","100",""
"26-Nov-14","dip","1","0.0 kg","8",""
"26-Nov-14","dip","2","0.0 kg","8",""
"26-Nov-14","dip","3","0.0 kg","8",""
"26-Nov-14","dip","4","0.0 kg","8",""
"26-Nov-14","incline barbell bench press","1","44 kg","6",""
"26-Nov-14","incline barbell bench press","2","44 kg","8",""
"26-Nov-14","incline barbell bench press","3","44 kg","8",""
"26-Nov-14","barbell bench press","1","40 kg","8",""
"26-Nov-14","barbell bench press","2","40 kg","8",""
"26-Nov-14","barbell bench press","3","40 kg","12",""
"26-Nov-14","barbell bench press","4","52 kg","6",""
"26-Nov-14","barbell bench press","5","52 kg","8",""
"26-Nov-14","barbell bench press","6","52 kg","8",""
"26-Nov-14","captains chair leg raise","1","0.0 kg","10",""
"26-Nov-14","captains chair leg raise","2","0.0 kg","10",""
"26-Nov-14","captains chair leg raise","3","0.0 kg","10",""
"26-Nov-14","captains chair leg raise","4","0.0 kg","10",""
"26-Nov-14","kneeling cable crunch","1","36.25 kg","8",""
"26-Nov-14","kneeling cable crunch","2","36.25 kg","8",""
"26-Nov-14","kneeling cable crunch","3","36.25 kg","8",""
"26-Nov-14","kneeling cable crunch","4","36.25 kg","8",""

"28-Nov-14","one-arm row","1","18 kg","8",""
"28-Nov-14","one-arm row","2","18 kg","8",""
"28-Nov-14","one-arm row","3","18 kg","12",""
"28-Nov-14","one-arm row","4","26 kg","6",""
"28-Nov-14","one-arm row","5","26 kg","6",""
"28-Nov-14","one-arm row","6","26 kg","6",""
"28-Nov-14","calf raise","1","120 kg","12",""
"28-Nov-14","calf raise","2","120 kg","12",""
"28-Nov-14","calf raise","3","120 kg","12",""
"28-Nov-14","calf raise","4","120 kg","12",""
"28-Nov-14","deadlift","1","60 kg","8",""
"28-Nov-14","deadlift","2","60 kg","8",""
"28-Nov-14","deadlift","3","60 kg","8",""
"28-Nov-14","deadlift","4","60 kg","8",""
"28-Nov-14","deadlift","5","60 kg","8",""
"28-Nov-14","lat pulldown","1","82 kg","6",""
"28-Nov-14","lat pulldown","2","82 kg","6",""
"28-Nov-14","lat pulldown","3","82 kg","6",""

"30-Nov-14","seated dumbbell shoulder press","1","14 kg","8",""
"30-Nov-14","seated dumbbell shoulder press","2","14 kg","8",""
"30-Nov-14","seated dumbbell shoulder press","3","14 kg","12",""
"30-Nov-14","seated dumbbell shoulder press","4","24 kg","6",""
"30-Nov-14","seated dumbbell shoulder press","5","24 kg","6",""
"30-Nov-14","seated dumbbell shoulder press","6","24 kg","6",""
"30-Nov-14","barbell shrug","1","72 kg","12","with dumbells"
"30-Nov-14","barbell shrug","2","72 kg","10",""
"30-Nov-14","barbell shrug","3","72 kg","10",""
"30-Nov-14","barbell shrug","4","72 kg","10",""
"30-Nov-14","cable side lateral raise","1","7.5 kg","6","struggling"
"30-Nov-14","cable side lateral raise","2","6.25 kg","6",""
"30-Nov-14","cable side lateral raise","3","6.25 kg","6",""
"30-Nov-14","cable side lateral raise","4","6.25 kg","6",""
"30-Nov-14","barbell rear delt raise","1","40 kg","8",""
"30-Nov-14","barbell rear delt raise","2","40 kg","8",""
"30-Nov-14","barbell rear delt raise","3","40 kg","8",""
"30-Nov-14","barbell rear delt raise","4","40 kg","8",""

"01-Dec-14","barbell squat","1","0 kg","8",""
"01-Dec-14","barbell squat","2","0 kg","12",""
"01-Dec-14","barbell squat","3","40 kg","12","including bar"
"01-Dec-14","barbell squat","4","60 kg","6","including bar"
"01-Dec-14","barbell squat","5","60 kg","7","gym guy helping with form"
"01-Dec-14","barbell squat","6","60 kg","6","gym guy helping with form"
"01-Dec-14","romanian deadlift","1","55 kg","8",""
"01-Dec-14","romanian deadlift","2","55 kg","8",""
"01-Dec-14","romanian deadlift","3","55 kg","8",""
"01-Dec-14","romanian deadlift","4","55 kg","8",""
"01-Dec-14","machine leg press","1","115 kg","6",""
"01-Dec-14","machine leg press","2","115 kg","6",""
"01-Dec-14","machine leg press","3","115 kg","6",""

"09-Dec-14","air bicycles","1","0.0 kg","100",""
"09-Dec-14","air bicycles","2","0.0 kg","100",""
"09-Dec-14","air bicycles","3","0.0 kg","100",""
"09-Dec-14","dip","1","0.0 kg","8",""
"09-Dec-14","dip","2","0.0 kg","8",""
"09-Dec-14","dip","3","0.0 kg","8",""
"09-Dec-14","dip","4","0.0 kg","8",""
"09-Dec-14","incline barbell bench press","1","44 kg","8",""
"09-Dec-14","incline barbell bench press","2","44 kg","8",""
"09-Dec-14","incline barbell bench press","3","44 kg","8",""
"09-Dec-14","barbell bench press","1","40 kg","8",""
"09-Dec-14","barbell bench press","2","40 kg","8",""
"09-Dec-14","barbell bench press","3","40 kg","12",""
"09-Dec-14","barbell bench press","4","52 kg","6",""
"09-Dec-14","barbell bench press","5","52 kg","6",""
"09-Dec-14","barbell bench press","6","52 kg","6",""
"09-Dec-14","captains chair leg raise","1","0.0 kg","8",""
"09-Dec-14","captains chair leg raise","2","0.0 kg","10",""
"09-Dec-14","captains chair leg raise","3","0.0 kg","10",""
"09-Dec-14","captains chair leg raise","4","0.0 kg","10",""
"09-Dec-14","kneeling cable crunch","1","36.25 kg","8",""
"09-Dec-14","kneeling cable crunch","2","36.25 kg","8",""
"09-Dec-14","kneeling cable crunch","3","36.25 kg","8",""
"09-Dec-14","kneeling cable crunch","4","36.25 kg","8",""

"11-Dec-14","one-arm row","1","18 kg","8",""
"11-Dec-14","one-arm row","2","18 kg","8",""
"11-Dec-14","one-arm row","3","18 kg","12",""
"11-Dec-14","one-arm row","4","26 kg","6",""
"11-Dec-14","one-arm row","5","26 kg","6",""
"11-Dec-14","one-arm row","6","26 kg","6",""
"11-Dec-14","calf raise","1","120 kg","12",""
"11-Dec-14","calf raise","2","120 kg","12",""
"11-Dec-14","calf raise","3","120 kg","12",""
"11-Dec-14","calf raise","4","120 kg","12",""
"11-Dec-14","deadlift","1","55 kg","8",""
"11-Dec-14","deadlift","2","55 kg","8",""
"11-Dec-14","deadlift","3","55 kg","8",""
"11-Dec-14","deadlift","4","55 kg","8",""
"11-Dec-14","deadlift","5","55 kg","8",""
"11-Dec-14","lat pulldown","1","82 kg","6",""
"11-Dec-14","lat pulldown","2","82 kg","6",""
"11-Dec-14","lat pulldown","3","82 kg","6",""

"15-Dec-14","kneeling cable crunch","1","36.25 kg","8",""
"15-Dec-14","kneeling cable crunch","2","36.25 kg","8",""
"15-Dec-14","kneeling cable crunch","3","36.25 kg","8",""
"15-Dec-14","kneeling cable crunch","4","36.25 kg","8",""
"15-Dec-14","air bicycles","1","0.0 kg","100",""
"15-Dec-14","air bicycles","2","0.0 kg","100",""
"15-Dec-14","air bicycles","3","0.0 kg","100",""
"15-Dec-14","seated dumbbell shoulder press","1","14 kg","8",""
"15-Dec-14","seated dumbbell shoulder press","2","14 kg","8",""
"15-Dec-14","seated dumbbell shoulder press","3","14 kg","12",""
"15-Dec-14","seated dumbbell shoulder press","4","24 kg","6",""
"15-Dec-14","seated dumbbell shoulder press","5","24 kg","5","failed"
"15-Dec-14","seated dumbbell shoulder press","6","24 kg","4","failed"
"15-Dec-14","seated dumbbell shoulder press","7","22 kg","6","failed"
"15-Dec-14","seated dumbbell shoulder press","8","22 kg","6",""
"15-Dec-14","barbell shrug","1","55 kg","14",""
"15-Dec-14","barbell shrug","2","55 kg","14",""
"15-Dec-14","barbell shrug","3","55 kg","14",""
"15-Dec-14","barbell shrug","4","55 kg","14",""
"15-Dec-14","barbell shrug","5","55 kg","14",""
"15-Dec-14","cable side lateral raise","1","6.25 kg","6",""
"15-Dec-14","cable side lateral raise","2","6.25 kg","6",""
"15-Dec-14","cable side lateral raise","3","6.25 kg","6",""
"15-Dec-14","cable side lateral raise","4","6.25 kg","6",""
"15-Dec-14","barbell rear delt raise","1","40 kg","8",""
"15-Dec-14","barbell rear delt raise","2","40 kg","8",""
"15-Dec-14","barbell rear delt raise","3","40 kg","8",""
"15-Dec-14","barbell rear delt raise","4","40 kg","8",""
"15-Dec-14","captains chair leg raise","1","0.0 kg","10",""
"15-Dec-14","captains chair leg raise","2","0.0 kg","10",""
"15-Dec-14","captains chair leg raise","3","0.0 kg","10",""
"15-Dec-14","captains chair leg raise","4","0.0 kg","10",""

"16-Dec-14","barbell squat","1","20 kg","8",""
"16-Dec-14","barbell squat","2","20 kg","8",""
"16-Dec-14","barbell squat","3","40 kg","12",""
"16-Dec-14","barbell squat","4","60 kg","6",""
"16-Dec-14","barbell squat","5","60 kg","6",""
"16-Dec-14","barbell squat","6","60 kg","6",""
"16-Dec-14","barbell squat","7","60 kg","6",""
"16-Dec-14","romanian deadlift","1","40 kg","10",""
"16-Dec-14","romanian deadlift","2","40 kg","10",""
"16-Dec-14","romanian deadlift","3","40 kg","12",""
"16-Dec-14","romanian deadlift","4","55 kg","8",""
"16-Dec-14","romanian deadlift","5","55 kg","8",""
"16-Dec-14","romanian deadlift","6","55 kg","8",""
"16-Dec-14","romanian deadlift","7","55 kg","8",""
"16-Dec-14","machine leg press","1","105 kg","8",""
"16-Dec-14","machine leg press","2","115 kg","6",""
"16-Dec-14","machine leg press","3","115 kg","8",""
"16-Dec-14","machine leg press","4","115 kg","8",""

"18-Dec-14","air bicycles","1","0.0 kg","100",""
"18-Dec-14","air bicycles","2","0.0 kg","100",""
"18-Dec-14","air bicycles","3","0.0 kg","100",""
"18-Dec-14","cable triceps pushdown","1","36.25 kg","6",""
"18-Dec-14","cable triceps pushdown","2","36.25 kg","8",""
"18-Dec-14","cable triceps pushdown","3","36.25 kg","6",""
"18-Dec-14","cable triceps pushdown","4","36.25 kg","5","failed.."
"18-Dec-14","standing biceps curl","1","25 kg","8",""
"18-Dec-14","standing biceps curl","2","25 kg","8",""
"18-Dec-14","standing biceps curl","3","25 kg","6",""
"18-Dec-14","standing biceps curl","4","25 kg","6",""
"18-Dec-14","dumbbell biceps curl","1","12 kg","8",""
"18-Dec-14","dumbbell biceps curl","2","12 kg","8",""
"18-Dec-14","dumbbell biceps curl","3","12 kg","8",""
"18-Dec-14","dumbbell biceps curl","4","14 kg","6",""
"18-Dec-14","dumbbell biceps curl","5","14 kg","6",""
"18-Dec-14","dumbbell biceps curl","6","14 kg","6",""
"18-Dec-14","lying triceps extension","1","24 kg","12",""
"18-Dec-14","lying triceps extension","2","24 kg","12",""
"18-Dec-14","lying triceps extension","3","24 kg","12",""
"18-Dec-14","lying triceps extension","4","24 kg","12",""
"18-Dec-14","captains chair leg raise","1","0.0 kg","10",""
"18-Dec-14","captains chair leg raise","2","0.0 kg","10",""
"18-Dec-14","captains chair leg raise","3","0.0 kg","10",""
"18-Dec-14","captains chair leg raise","4","0.0 kg","10",""
"18-Dec-14","kneeling cable crunch","1","38.75 kg","8",""
"18-Dec-14","kneeling cable crunch","2","38.75 kg","8",""
"18-Dec-14","kneeling cable crunch","3","38.75 kg","8",""

"31-Dec-14","air bicycles","1","0.0 kg","120",""
"31-Dec-14","air bicycles","2","0.0 kg","120",""
"31-Dec-14","air bicycles","3","0.0 kg","120",""
"31-Dec-14","dip","1","0.0 kg","10",""
"31-Dec-14","dip","2","0.0 kg","8",""
"31-Dec-14","dip","3","0.0 kg","8",""
"31-Dec-14","dip","4","0.0 kg","6",""
"31-Dec-14","dip","5","0.0 kg","5",""
"31-Dec-14","incline barbell bench press","1","48 kg","8",""
"31-Dec-14","incline barbell bench press","2","48 kg","5","failed"
"31-Dec-14","incline barbell bench press","3","48 kg","6",""
"31-Dec-14","barbell bench press","1","40 kg","8",""
"31-Dec-14","barbell bench press","2","40 kg","8",""
"31-Dec-14","barbell bench press","3","40 kg","12",""
"31-Dec-14","barbell bench press","4","52 kg","6",""
"31-Dec-14","barbell bench press","5","52 kg","6",""
"31-Dec-14","barbell bench press","6","52 kg","6",""
"31-Dec-14","barbell bench press","7","52 kg","6","GO UP"
"31-Dec-14","captains chair leg raise","1","0.0 kg","10",""
"31-Dec-14","captains chair leg raise","2","0.0 kg","10",""
"31-Dec-14","captains chair leg raise","3","0.0 kg","10",""
"31-Dec-14","captains chair leg raise","4","0.0 kg","10",""
"31-Dec-14","kneeling cable crunch","1","38.75 kg","8",""
"31-Dec-14","kneeling cable crunch","2","38.75 kg","8",""
"31-Dec-14","kneeling cable crunch","3","38.75 kg","8",""
"31-Dec-14","kneeling cable crunch","4","38.75 kg","8",""

"01-Jan-15","one-arm row","1","18 kg","8",""
"01-Jan-15","one-arm row","2","18 kg","8",""
"01-Jan-15","one-arm row","3","18 kg","12",""
"01-Jan-15","one-arm row","4","28 kg","6",""
"01-Jan-15","one-arm row","5","28 kg","6",""
"01-Jan-15","one-arm row","6","28 kg","6",""
"01-Jan-15","calf raise","1","120 kg","12",""
"01-Jan-15","calf raise","2","120 kg","12",""
"01-Jan-15","calf raise","3","120 kg","12",""
"01-Jan-15","calf raise","4","120 kg","12",""
"01-Jan-15","deadlift","1","40 kg","8",""
"01-Jan-15","deadlift","2","40 kg","8",""
"01-Jan-15","deadlift","3","40 kg","12",""
"01-Jan-15","deadlift","4","70 kg","6",""
"01-Jan-15","deadlift","5","70 kg","6",""
"01-Jan-15","deadlift","6","70 kg","6",""
"01-Jan-15","lat pulldown","1","82 kg","6",""
"01-Jan-15","lat pulldown","2","82 kg","6",""
"01-Jan-15","lat pulldown","3","82 kg","5",""

"02-Jan-15","seated dumbbell shoulder press","1","14 kg","8",""
"02-Jan-15","seated dumbbell shoulder press","2","14 kg","8",""
"02-Jan-15","seated dumbbell shoulder press","3","14 kg","12",""
"02-Jan-15","seated dumbbell shoulder press","4","24 kg","6",""
"02-Jan-15","seated dumbbell shoulder press","5","24 kg","5",""
"02-Jan-15","seated dumbbell shoulder press","6","22 kg","6",""
"02-Jan-15","seated dumbbell shoulder press","7","22 kg","5",""
"02-Jan-15","barbell shrug","1","68 kg","12",""
"02-Jan-15","barbell shrug","2","68 kg","12",""
"02-Jan-15","barbell shrug","3","68 kg","12",""
"02-Jan-15","barbell shrug","4","68 kg","12",""
"02-Jan-15","cable side lateral raise","1","6.25 kg","6",""
"02-Jan-15","cable side lateral raise","2","6.25 kg","6",""
"02-Jan-15","cable side lateral raise","3","6.25 kg","6",""
"02-Jan-15","cable side lateral raise","4","6.25 kg","6",""
"02-Jan-15","rear lateral raise","1","8 kg","8",""
"02-Jan-15","rear lateral raise","2","8 kg","8",""
"02-Jan-15","rear lateral raise","3","8 kg","8",""
"02-Jan-15","rear lateral raise","4","8 kg","8",""

"03-Jan-15","air bicycles","1","0.0 kg","120",""
"03-Jan-15","air bicycles","2","0.0 kg","120",""
"03-Jan-15","air bicycles","3","0.0 kg","120",""
"03-Jan-15","cable triceps pushdown","1","18.75 kg","8",""
"03-Jan-15","cable triceps pushdown","2","18.75 kg","10",""
"03-Jan-15","cable triceps pushdown","3","28.75 kg","4",""
"03-Jan-15","cable triceps pushdown","4","33.75 kg","1",""
"03-Jan-15","cable triceps pushdown","5","38.75 kg","6",""
"03-Jan-15","cable triceps pushdown","6","38.75 kg","6",""
"03-Jan-15","cable triceps pushdown","7","38.75 kg","6",""
"03-Jan-15","standing biceps curl","1","30 kg","6",""
"03-Jan-15","standing biceps curl","2","30 kg","6",""
"03-Jan-15","standing biceps curl","3","30 kg","4","failed on 5"
"03-Jan-15","standing biceps curl","4","25 kg","6",""
"03-Jan-15","dumbbell biceps curl","1","8 kg","8",""
"03-Jan-15","dumbbell biceps curl","2","8 kg","10",""
"03-Jan-15","dumbbell biceps curl","3","10 kg","4",""
"03-Jan-15","dumbbell biceps curl","4","14 kg","1",""
"03-Jan-15","dumbbell biceps curl","5","16 kg","6",""
"03-Jan-15","dumbbell biceps curl","6","16 kg","6","stuggled"
"03-Jan-15","dumbbell biceps curl","7","16 kg","6","stuggled"
"03-Jan-15","lying triceps extension","1","24 kg","12",""
"03-Jan-15","lying triceps extension","2","24 kg","12",""
"03-Jan-15","lying triceps extension","3","24 kg","12",""
"03-Jan-15","lying triceps extension","4","24 kg","12",""
"03-Jan-15","captains chair leg raise","1","0.0 kg","10",""
"03-Jan-15","captains chair leg raise","2","0.0 kg","10",""
"03-Jan-15","captains chair leg raise","3","0.0 kg","10",""
"03-Jan-15","captains chair leg raise","4","0.0 kg","10",""
"03-Jan-15","kneeling cable crunch","1","38.75 kg","10",""
"03-Jan-15","kneeling cable crunch","2","38.75 kg","10",""
"03-Jan-15","kneeling cable crunch","3","38.75 kg","10",""
"03-Jan-15","kneeling cable crunch","4","38.75 kg","10",""

"04-Jan-15","barbell squat","1","20 kg","8",""
"04-Jan-15","romanian deadlift","1","40 kg","8",""
"04-Jan-15","romanian deadlift","2","40 kg","10",""
"04-Jan-15","romanian deadlift","3","55 kg","6",""
"04-Jan-15","romanian deadlift","4","55 kg","6",""
"04-Jan-15","romanian deadlift","5","55 kg","6",""
"04-Jan-15","machine leg press","1","115 kg","8",""
"04-Jan-15","machine leg press","2","115 kg","8",""
"04-Jan-15","machine leg press","3","115 kg","8",""
"04-Jan-15","machine leg press","4","115 kg","8",""

"06-Jan-15","air bicycles","1","0.0 kg","120",""
"06-Jan-15","air bicycles","2","0.0 kg","120",""
"06-Jan-15","air bicycles","3","0.0 kg","120",""
"06-Jan-15","barbell squat","1","20 kg","8",""
"06-Jan-15","barbell squat","2","20 kg","10",""
"06-Jan-15","barbell squat","3","40 kg","10",""
"06-Jan-15","barbell squat","4","60 kg","6",""
"06-Jan-15","barbell squat","5","60 kg","6",""
"06-Jan-15","barbell squat","6","60 kg","6",""
"06-Jan-15","dip","1","0.0 kg","8",""
"06-Jan-15","dip","2","0.0 kg","8",""
"06-Jan-15","dip","3","0.0 kg","8",""
"06-Jan-15","dip","4","0.0 kg","8",""
"06-Jan-15","incline barbell bench press","1","48 kg","8",""
"06-Jan-15","incline barbell bench press","2","48 kg","6",""
"06-Jan-15","incline barbell bench press","3","48 kg","5",""
"06-Jan-15","barbell bench press","1","44 kg","8",""
"06-Jan-15","barbell bench press","2","44 kg","8",""
"06-Jan-15","barbell bench press","3","44 kg","8",""
"06-Jan-15","barbell bench press","4","52 kg","6",""
"06-Jan-15","barbell bench press","5","52 kg","6",""
"06-Jan-15","barbell bench press","6","52 kg","6",""
"06-Jan-15","barbell bench press","7","52 kg","6",""
"06-Jan-15","captains chair leg raise","1","0.0 kg","10",""
"06-Jan-15","captains chair leg raise","2","0.0 kg","10",""
"06-Jan-15","captains chair leg raise","3","0.0 kg","10",""
"06-Jan-15","captains chair leg raise","4","0.0 kg","10",""
"06-Jan-15","kneeling cable crunch","1","38.75 kg","10",""
"06-Jan-15","kneeling cable crunch","2","38.75 kg","10",""
"06-Jan-15","kneeling cable crunch","3","38.75 kg","10",""
"06-Jan-15","kneeling cable crunch","4","38.75 kg","10",""

"07-Jan-15","one-arm row","1","16 kg","8",""
"07-Jan-15","one-arm row","2","16 kg","10",""
"07-Jan-15","one-arm row","3","22 kg","4",""
"07-Jan-15","one-arm row","4","28 kg","6",""
"07-Jan-15","one-arm row","5","28 kg","6",""
"07-Jan-15","one-arm row","6","28 kg","6",""
"07-Jan-15","calf raise","1","120 kg","12",""
"07-Jan-15","calf raise","2","120 kg","12",""
"07-Jan-15","calf raise","3","120 kg","12",""
"07-Jan-15","calf raise","4","120 kg","12",""
"07-Jan-15","deadlift","1","40 kg","8",""
"07-Jan-15","deadlift","2","40 kg","10",""
"07-Jan-15","deadlift","3","50 kg","4",""
"07-Jan-15","deadlift","4","70 kg","6",""
"07-Jan-15","deadlift","5","70 kg","6",""
"07-Jan-15","deadlift","6","70 kg","6",""
"07-Jan-15","lat pulldown","1","82 kg","6",""
"07-Jan-15","lat pulldown","2","82 kg","6",""
"07-Jan-15","lat pulldown","3","82 kg","6",""

"08-Jan-15","dumbbell lateral raise","1","8 kg","6",""
"08-Jan-15","dumbbell lateral raise","2","8 kg","6",""
"08-Jan-15","dumbbell lateral raise","3","8 kg","6",""
"08-Jan-15","dumbbell lateral raise","4","8 kg","6",""
"08-Jan-15","machine shoulder press","1","25 kg","8",""
"08-Jan-15","machine shoulder press","2","25 kg","10",""
"08-Jan-15","machine shoulder press","3","35 kg","4",""
"08-Jan-15","machine shoulder press","4","45 kg","6",""
"08-Jan-15","machine shoulder press","5","45 kg","6",""
"08-Jan-15","machine shoulder press","6","45 kg","5",""
"08-Jan-15","barbell shrug","1","68 kg","12",""
"08-Jan-15","barbell shrug","2","68 kg","12",""
"08-Jan-15","barbell shrug","3","68 kg","12",""
"08-Jan-15","barbell shrug","4","68 kg","12",""
"08-Jan-15","rear lateral raise","1","8 kg","6",""
"08-Jan-15","rear lateral raise","2","8 kg","8",""
"08-Jan-15","rear lateral raise","3","8 kg","8",""
"08-Jan-15","rear lateral raise","4","8 kg","8",""
"08-Jan-15","rear lateral raise","5","8 kg","8",""

"09-Jan-15","barbell squat","1","20 kg","8",""
"09-Jan-15","barbell squat","2","20 kg","10",""
"09-Jan-15","barbell squat","3","40 kg","8",""
"09-Jan-15","barbell squat","4","60 kg","6",""
"09-Jan-15","barbell squat","5","60 kg","6",""
"09-Jan-15","barbell squat","6","60 kg","6",""
"09-Jan-15","barbell squat","7","60 kg","6",""
"09-Jan-15","romanian deadlift","1","40 kg","8",""
"09-Jan-15","romanian deadlift","2","40 kg","10",""
"09-Jan-15","romanian deadlift","3","50 kg","4",""
"09-Jan-15","romanian deadlift","4","55 kg","6",""
"09-Jan-15","romanian deadlift","5","55 kg","6",""
"09-Jan-15","romanian deadlift","6","55 kg","6",""
"09-Jan-15","machine leg press","1","115 kg","8",""
"09-Jan-15","machine leg press","2","115 kg","6",""
"09-Jan-15","machine leg press","3","115 kg","6",""
"09-Jan-15","machine leg press","4","115 kg","6",""

"11-Jan-15","air bicycles","1","0.0 kg","120",""
"11-Jan-15","air bicycles","2","0.0 kg","120",""
"11-Jan-15","air bicycles","3","0.0 kg","120",""
"11-Jan-15","cable triceps pushdown","1","18.75 kg","8",""
"11-Jan-15","cable triceps pushdown","2","18.75 kg","10",""
"11-Jan-15","cable triceps pushdown","3","28.75 kg","4",""
"11-Jan-15","cable triceps pushdown","4","33.75 kg","1",""
"11-Jan-15","cable triceps pushdown","5","38.75 kg","6",""
"11-Jan-15","cable triceps pushdown","6","38.75 kg","6",""
"11-Jan-15","cable triceps pushdown","7","38.75 kg","6",""
"11-Jan-15","standing biceps curl","1","30 kg","6",""
"11-Jan-15","standing biceps curl","2","30 kg","6",""
"11-Jan-15","standing biceps curl","3","30 kg","6",""
"11-Jan-15","dumbbell biceps curl","1","8 kg","8",""
"11-Jan-15","dumbbell biceps curl","2","8 kg","10",""
"11-Jan-15","dumbbell biceps curl","3","10 kg","4",""
"11-Jan-15","dumbbell biceps curl","4","14 kg","1",""
"11-Jan-15","dumbbell biceps curl","5","16 kg","6",""
"11-Jan-15","dumbbell biceps curl","6","16 kg","6","struggling!"
"11-Jan-15","dumbbell biceps curl","7","16 kg","6",""
"11-Jan-15","lying triceps extension","1","24 kg","12",""
"11-Jan-15","lying triceps extension","2","24 kg","12",""
"11-Jan-15","lying triceps extension","3","24 kg","12",""
"11-Jan-15","lying triceps extension","4","24 kg","12",""
"11-Jan-15","captains chair leg raise","1","0.0 kg","10",""
"11-Jan-15","captains chair leg raise","2","0.0 kg","10",""
"11-Jan-15","captains chair leg raise","3","0.0 kg","10",""
"11-Jan-15","captains chair leg raise","4","0.0 kg","10",""
"11-Jan-15","kneeling cable crunch","1","38.75 kg","10",""
"11-Jan-15","kneeling cable crunch","2","38.75 kg","10",""
"11-Jan-15","kneeling cable crunch","3","38.75 kg","10",""
"11-Jan-15","kneeling cable crunch","4","38.75 kg","10",""

"12-Jan-15","dip","1","0.0 kg","8",""
"12-Jan-15","dip","2","0.0 kg","8",""
"12-Jan-15","dip","3","0.0 kg","8",""
"12-Jan-15","dip","4","0.0 kg","8",""
"12-Jan-15","incline barbell bench press","1","48 kg","6",""
"12-Jan-15","incline barbell bench press","2","48 kg","6",""
"12-Jan-15","incline barbell bench press","3","48 kg","6",""
"12-Jan-15","barbell bench press","1","44 kg","8",""
"12-Jan-15","barbell bench press","2","44 kg","8",""
"12-Jan-15","barbell bench press","3","44 kg","8",""
"12-Jan-15","barbell bench press","4","52 kg","6",""
"12-Jan-15","barbell bench press","5","52 kg","6",""
"12-Jan-15","barbell bench press","6","52 kg","6",""
"12-Jan-15","barbell bench press","7","52 kg","6",""

"17-Jan-15","one-arm row","1","16 kg","8",""
"17-Jan-15","one-arm row","2","16 kg","10",""
"17-Jan-15","one-arm row","3","22 kg","4",""
"17-Jan-15","one-arm row","4","28 kg","6",""
"17-Jan-15","one-arm row","5","28 kg","6",""
"17-Jan-15","one-arm row","6","28 kg","6",""
"17-Jan-15","calf raise","1","120 kg","12",""
"17-Jan-15","calf raise","2","120 kg","12",""
"17-Jan-15","calf raise","3","120 kg","12",""
"17-Jan-15","calf raise","4","120 kg","12",""
"17-Jan-15","deadlift","1","40 kg","8",""
"17-Jan-15","deadlift","2","40 kg","10",""
"17-Jan-15","deadlift","3","50 kg","4",""
"17-Jan-15","deadlift","4","55 kg","6",""
"17-Jan-15","deadlift","5","55 kg","6",""
"17-Jan-15","deadlift","6","55 kg","6",""
"17-Jan-15","deadlift","7","55 kg","6",""
"17-Jan-15","lat pulldown","1","84.5 kg","6",""
"17-Jan-15","lat pulldown","2","84.5 kg","6",""
"17-Jan-15","lat pulldown","3","84.5 kg","6",""

"19-Jan-15","machine shoulder press","1","25 kg","8",""
"19-Jan-15","machine shoulder press","2","25 kg","10",""
"19-Jan-15","machine shoulder press","3","35 kg","4",""
"19-Jan-15","machine shoulder press","4","45 kg","6",""
"19-Jan-15","machine shoulder press","5","45 kg","6",""
"19-Jan-15","machine shoulder press","6","45 kg","6",""
"19-Jan-15","barbell shrug","1","55 kg","12",""
"19-Jan-15","barbell shrug","2","55 kg","12",""
"19-Jan-15","barbell shrug","3","55 kg","12",""
"19-Jan-15","barbell shrug","4","55 kg","12",""
"19-Jan-15","barbell shrug","5","55 kg","12",""
"19-Jan-15","cable side lateral raise","1","6.25 kg","6",""
"19-Jan-15","cable side lateral raise","2","6.25 kg","6",""
"19-Jan-15","cable side lateral raise","3","6.25 kg","6",""
"19-Jan-15","cable side lateral raise","4","6.25 kg","6",""

"20-Jan-15","barbell squat","1","10 kg","8","halfweight by accident"
"20-Jan-15","barbell squat","2","20 kg","10",""
"20-Jan-15","barbell squat","3","40 kg","8",""
"20-Jan-15","barbell squat","4","60 kg","6",""
"20-Jan-15","barbell squat","5","60 kg","6",""
"20-Jan-15","barbell squat","6","60 kg","6",""
"20-Jan-15","romanian deadlift","1","40 kg","8",""
